209.png	man judge: dark skin tone	👨🏿‍⚖️️	\U0001F468\U0001F3FF\U0000200D\U00002696\U0000FE0F\U0000FE0F	U+1F468 U+1F3FF U+200D U+2696 U+FE0F	man judge: dark skin tone
210.png	woman judge	👩‍⚖️️	\U0001F469\U0000200D\U00002696\U0000FE0F\U0000FE0F	U+1F469 U+200D U+2696 U+FE0F	woman judge
211.png	woman judge: light skin tone	👩🏻‍⚖️️	\U0001F469\U0001F3FB\U0000200D\U00002696\U0000FE0F\U0000FE0F	U+1F469 U+1F3FB U+200D U+2696 U+FE0F	woman judge: light skin tone
212.png	woman judge: medium-light skin tone	👩🏼‍⚖️️	\U0001F469\U0001F3FC\U0000200D\U00002696\U0000FE0F\U0000FE0F	U+1F469 U+1F3FC U+200D U+2696 U+FE0F	woman judge: medium-light skin tone
213.png	woman judge: medium skin tone	👩🏽‍⚖️️	\U0001F469\U0001F3FD\U0000200D\U00002696\U0000FE0F\U0000FE0F	U+1F469 U+1F3FD U+200D U+2696 U+FE0F	woman judge: medium skin tone
214.png	woman judge: medium-dark skin tone	👩🏾‍⚖️️	\U0001F469\U0001F3FE\U0000200D\U00002696\U0000FE0F\U0000FE0F	U+1F469 U+1F3FE U+200D U+2696 U+FE0F	woman judge: medium-dark skin tone
215.png	woman judge: dark skin tone	👩🏿‍⚖️️	\U0001F469\U0001F3FF\U0000200D\U00002696\U0000FE0F\U0000FE0F	U+1F469 U+1F3FF U+200D U+2696 U+FE0F	woman judge: dark skin tone
216.png	man farmer	👨‍🌾️	\U0001F468\U0000200D\U0001F33E\U0000FE0F	U+1F468 U+200D U+1F33E	man farmer
217.png	man farmer: light skin tone	👨🏻‍🌾️	\U0001F468\U0001F3FB\U0000200D\U0001F33E\U0000FE0F	U+1F468 U+1F3FB U+200D U+1F33E	man farmer: light skin tone
218.png	man farmer: medium-light skin tone	👨🏼‍🌾️	\U0001F468\U0001F3FC\U0000200D\U0001F33E\U0000FE0F	U+1F468 U+1F3FC U+200D U+1F33E	man farmer: medium-light skin tone
219.png	man farmer: medium skin tone	👨🏽‍🌾️	\U0001F468\U0001F3FD\U0000200D\U0001F33E\U0000FE0F	U+1F468 U+1F3FD U+200D U+1F33E	man farmer: medium skin tone
220.png	man farmer: medium-dark skin tone	👨🏾‍🌾️	\U0001F468\U0001F3FE\U0000200D\U0001F33E\U0000FE0F	U+1F468 U+1F3FE U+200D U+1F33E	man farmer: medium-dark skin tone
